imicrobe,mixs_term,alternate_name,category,mixs_package,camera,bco_dmo_short_name,hot_name
total_alkalinity,,,chemical,,,TALK,
total_dissolved_nitrogen,,,chemical,,,TDN,
total_dissolved_phosphorus,,,chemical,,,TDP,
total_fe,,iron,chemical,,,,
total_particulate_carbon,,,chemical,,,TPC,
total_particulate_nitrogen,,,chemical,,,TPN,
total_particulate_phosphorus,,,chemical,,,TPP,
total_phaeopigment,,,chemical,,,phaeo,
total_phosphorus,,phosphorus,chemical,,,,
total_pigment,,,chemical,,,pig_tot,
trace_elements,,trace elements,chemical,,,,
tungstenw_um,,tungsten,chemical,,Tungsten(W)  (uM),,
urea,,urea,chemical,,,,
urea_umol_l,turbidity,,chemical,sediment,Urea  (Ì¡mol/l),,
vanadiumv_um,,vanadium,chemical,,Vanadium(V)  (uM),,
violaxanthin,,,chemical,,,violax,
zeaxanthin,,,chemical,,,zeax,
zinczn_um,,zinc,chemical,,Zinc(Zn)  (uM),,
,dissolved oxygen,,chemical,multi,oxygen  (umol/Kg),,
atmospheric_general_weather,,general weather,environment,none,atmospheric/general weather,,
atmospheric_pressure_atm,pressure,,environment,air,atmospheric/pressure  (atm),,
atmospheric_wind_speed_m_s,wind speed,,environment,air,atmospheric/wind speed  (m/s),,
day_portion_of_day_night_cycle_in_hours,,,environment,,,,
depth_bottom,,,environment,,,depth_bottom,
depth_max,,,environment,,,depth_max,
environmental_salinity,,,environment,,,,
environmental_temperature,,,environment,,,,
envo_term_for_habitat_primary_term,,,environment,,,,
envo_term_for_habitat_secondary_term,,,environment,,,,
experimental_temperature,,,environment,,,,
growth_medium,,,environment,,,,
habitat,,,environment,,,,
habitat_description,,,environment,,,,
habitat_name,,,environment,,HABITAT_NAME,,
health_status,,,environment,core//human-associated,health status,,
host_description,,,environment,,HOST_DESCRIPTION,,
host_name,host common name,,environment,host-associated,Host Name,,
host_organism,,,environment,,HOST_ORGANISM,,
host_species,host common name,,environment,core/host-associated,host species,,
host_taxon_id,host taxid,,environment,host-associated,host taxon ID,,
host_taxon_id,,,environment,,HOST_TAXON_ID,,
host_tissue,,,environment,,host tissue,,
leg,,,environment,,leg,,
light,,,environment,,Light,,
light_intensity_umol_m2_s,light intensity,,environment,water,Light Intensity  (umol/m2/s),,
mean_annual_precipitation_cm,mean annual and seasonal precipitation,,environment,soil,mean annual precipitation  (cm),,
modifications_to_growth_medium,,,environment,,,,
night_portion_of_day_night_cycle_in_hours,,,environment,,,,
other,,,environment,,Other habitat  (null),,
other_environmental_metadata_available,,,environment,,,,
other_experimental_metadata_available,,,environment,,,,
other_habitat,,,environment,,Other habitat,,
pressure,,,environment,,,press,
pressure,,,environment,,,press,CTDPRS
pressure_max,,,environment,,,prmax,
prey_organism_if_applicable,,,environment,,,,
rain_fall,rainfall regimen,,environment,plant-associated,Rain Fall,,
region,,,environment,,REGION,,
sigma_t_density,,,environment,,,sigma_t,SIGMA
sigma_theta,,,environment,,,THETA,THETA
soil_depth_m,soil_depth,,environment,soil,Soil Depth  (m),,
soil_type,soil type,,environment,soil,Soil Type,,
temperature,,temperature,environment,,temperature,temp,
temperature,,,environment,,,temp,CTDTMP
temperature_c,temperature,,environment,multi,temperature  (C),,
transmission,,,environment,,transmission,trans,
treatment,,,environment,,Treatment,,
wave_height_m,wave_height,,environment,water,wave height  (m),,
altitude,,,location,,ALTITUDE,,
altitude_m,,altitude,location,core/multi,Altitude  (m),,
country,,,location,,,,
country_name,,country,location,,COUNTRY_NAME,,
current_land_use,current land use,,location,soil,Current Land Use,,
depth,,,location,,,depth,
elevation,,,location,,,,
latitude,,,location,,LATITUDE,lat,
longitude,,,location,,LONGITUDE,lon,
other_collection_site_info,,,location,,,,
sample_collection_site,,,location,,,,
sample_depth_m,sample_depth,,location,multi,sample depth  (M),,
sample_depth_m,sample_depth,,location,multi,sample depth  (m),,
