rdfs:label	MEOWL short label	BCO-DMO unit	other unit	From Ken's list of all fields	From Hurowitz CAMERA data.xls	category	BCO-DMO short name	MIxS package	maps to MIxS term	other synonyms
phosphate concentration	phosphate_conc		uM	nutrients_po4_microm	nutrients/PO4 - (microM)	chemical		multi	phosphate	
potassium phosphate concentration	potassium_phosphate_conc		uM	nutrients_potassium_phosphate_um	nutrients/potassium phosphate - (uM)	chemical				
putriscine concentration	putrescine_conc		nM	nutrients_putrescine_c4h12n2_nm	nutrients/putrescine (C4H12N2) - (nM)	chemical				
sulfate concentration	sulfate_conc		uM	nutrients_so4_microm	nutrients/SO4 - (microM)	chemical		multi	sulfate	
sodium nitrate concentration	sodium_nitrate_conc		uM	nutrients_sodium_nitrate_um	nutrients/sodium nitrate - (uM)	chemical				
spermidine concentration	spermidine_conc		nM	nutrients_spermidine_c7h19n3_nm	nutrients/spermidine (C7H19N3) - (nM)	chemical				
"unit missing, may correspond to oxygen status"				oxygen	oxygen	chemical		multi	oxygenation status of sample	
oxygen concentration	oxygen_conc		uM	oxygen_mass_um	oxygen/mass - (uM)	chemical		multi	dissolved oxygen	
oxygen concentration	oxygen_conc		uM	oxygen_um	oxygen - (uM)	chemical		multi	dissolved oxygen	
oxygen concentration	oxygen_conc		umol/kg	oxygen_umol_kg	oxygen - (umol/kg)	chemical		multi	dissolved oxygen	
particulate carbon concentration	particulate_carbon_conc		umol/kg	particulate_carbon_umol_kg	Particulate Carbon - (ðmol/kg)	chemical		water	total particulate carbon	
particulate nitrogen concentration	particulate_nitrogen_conc		umol/kg	particulate_nigrogen_umol_kg	Particulate Nigrogen - (ðmol/Kg)	chemical		water	particulate organic nitrogen	
particulate nitrogen concentration	particulate_nitrogen_conc		umol/kg	particulate_nitrogen_umol_kg	Particulate Nitrogen - (ðmol/kg)	chemical		water	particulate organic nitrogen	
particulate organic carbon concentration	poc_conc		umol/kg	particulate_organic_carbon_umol_kg	Particulate Organic Carbon - (umol/kg)	chemical		multi	particulate organic carbon	
particulate phosphate concentration	particulate_phosphate_conc		umol/kg	particulate_phosphate_umol_kg	Particulate Phosphate - (ðmol/kg)	chemical				
pH	ph			ph	pH	chemical		built env/plant-associated/soil	"surface moisture pH/pH regimen/pH, pH method"	
pH	ph			ph	pH - (null)	chemical		multi	pH	
unit missing				phosphate	-	chemical				
phosphate concentration	phosphate_conc		umol/kg	phosphate_umol_kg	phosphate - (umol/kg)	chemical		multi	phosphate	
phosphate concentration	phosphate_conc		umol/l	phosphate_umol_l	phosphate - (ðmol/l)	chemical		multi	phosphate	
particulate organic carbon concentration	poc_conc		unit missing	poc	-	chemical		multi	particulate organic carbon	
unit missing				potassium	Potassium - (null)	chemical		multi	potassium	
potassium concentration	potassium_conc		uM	potassiumk_um	Potassium(K) - (uM)	chemical		multi	potassium	
rubidium concentration	rubidium_conc		uM	rubidiumrb_um	Rubidium(Rb) - (uM)	chemical				
salinity	salinity		ppm	salinity_ppm	salinity - (ppm)	chemical		multi	salinity or sample salinity	
salinity	salinity		psu (practical salinity units)	salinity_psu	salinity - (psu)	chemical		multi	salinity or sample salinity	
silica concentration	silica_conc		umol/l	silicah4sio4_um_l	Silica(H4SiO4) - (uM/l)	chemical		multi	silicate	
unit missing				silicate	-	chemical				
silicate concentration	silicate_conc		umol/kg	silicate_umol_kg	Silicate - (umol/kg)	chemical		multi	silicate	
silicon concentration	silicon_conc		uM	siliconsi_um	Silicon(Si) - (uM)	chemical		multi	silicate	
silicon concentration	silicon_conc		uM	siliconsi_umol_l	Silicon(Si) - (umol/l)	chemical				
